index,datetime,ticker,price,prev_close,change,volume,perf_week,perf_month,perf_quarter,perf_year,perf_ytd,1_day_article_count,1_day_sentiment_avg,2_day_article_count,2_day_sentiment_avg,3_day_article_count,3_day_sentiment_avg,4_day_article_count,4_day_sentiment_avg,7_day_article_count,7_day_sentiment_avg,10_day_article_count,10_day_sentiment_avg,14_day_article_count,14_day_sentiment_avg,21_day_article_count,21_day_sentiment_avg,28_day_article_count,28_day_sentiment_avg,42_day_article_count,42_day_sentiment_avg,60_day_article_count,60_day_sentiment_avg,75_day_article_count,75_day_sentiment_avg,90_day_article_count,90_day_sentiment_avg,100_day_article_count,100_day_sentiment_avg,120_day_article_count,120_day_sentiment_avg,150_day_article_count,150_day_sentiment_avg,180_day_article_count,180_day_sentiment_avg
24,2/15/2023,AAPL,153.2,153.85,-0.42,60318993,-0.94,13.68,2.34,-9.16,17.91,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1200,0.053630667,2100,0.058700286,3100,0.051969677,4000,0.03888975,4700,0.030841468,5700,0.033621158,6399,0.037863104,7599,0.048472773
25,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
26,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
27,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
28,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
29,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
30,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
31,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
32,2/16/2023,AAPL,155.33,153.2,1.39,65514009,2.24,14.26,4.75,-8.02,19.55,100,0.142972,100,0.142972,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,300,0.149920667,1000,0.053521,2100,0.058700286,3000,0.054687467,3900,0.040146179,4700,0.030841468,5600,0.032542214,6399,0.037863104,7599,0.048472773
33,2/18/2023,AAPL,152.55,153.71,-0.75,58801297,1.02,12.77,2.53,-11.59,17.41,100,0.132572,200,0.1445535,300,0.144026333,400,0.1470875,500,0.1477738,500,0.1477738,500,0.1477738,500,0.1477738,500,0.1477738,1000,0.0777521,2300,0.066165783,3200,0.060304094,4000,0.046604375,4800,0.038246729,5600,0.034875071,6400,0.038750875,7699,0.05042612
